DX DESCRIPTION,CUI
"Incomplete lesion of sacral spinal cord, subsequent encounter",C2838699
"Incomplete lesion of sacral spinal cord, sequela",C2838700
"Unspecified injury to sacral spinal cord, initial encounter",C2838703
"Unspecified injury to sacral spinal cord, subsequent encounter",C2838704
"Unspecified injury to sacral spinal cord, sequela",C2838705
"Injury of cauda equina, initial encounter",C2838712
"Complete traumatic amputation at right shoulder joint, initial encounter",C2843269
"Complete traumatic amputation at right shoulder joint, sequela",C2843271
"Complete traumatic amputation at left shoulder joint, initial encounter",C2843273
"Complete traumatic amputation at left shoulder joint, sequela",C2843275
"Complete traumatic amputation at unspecified shoulder joint, initial encounter",C2843277
"Complete traumatic amputation at unspecified shoulder joint, sequela",C2843279
"Partial traumatic amputation at right shoulder joint, initial encounter",C2843282
"Partial traumatic amputation at right shoulder joint, sequela",C2843284
"Partial traumatic amputation at left shoulder joint, initial encounter",C2843286
"Partial traumatic amputation at left shoulder joint, sequela",C2843288
"Partial traumatic amputation at unspecified shoulder joint, initial encounter",C2843290
"Partial traumatic amputation at unspecified shoulder joint, sequela",C2843292
"Complete traumatic amputation at level between right shoulder and elbow, initial encounter",C2843295
"Complete traumatic amputation at level between right shoulder and elbow, sequela",C2843297
"Complete traumatic amputation at level between left shoulder and elbow, initial encounter",C2843299
"Complete traumatic amputation at level between left shoulder and elbow, sequela",C2843301
"Complete traumatic amputation at level between unspecified shoulder and elbow, initial encounter",C2843303
"Complete traumatic amputation at level between unspecified shoulder and elbow, sequela",C2843305
"Partial traumatic amputation at level between right shoulder and elbow, initial encounter",C2843308
"Partial traumatic amputation at level between right shoulder and elbow, sequela",C2843310
"Partial traumatic amputation at level between left shoulder and elbow, initial encounter",C2843312
"Partial traumatic amputation at level between left shoulder and elbow, sequela",C2843314
"Partial traumatic amputation at level between unspecified shoulder and elbow, initial encounter",C2843316
"Partial traumatic amputation at level between unspecified shoulder and elbow, sequela",C2843318
"Complete traumatic amputation of right shoulder and upper arm, level unspecified, initial encounter",C2843321
"Complete traumatic amputation of right shoulder and upper arm, level unspecified, sequela",C2843323
"Complete traumatic amputation of left shoulder and upper arm, level unspecified, initial encounter",C2843325
"Complete traumatic amputation of left shoulder and upper arm, level unspecified, sequela",C2843327
"Complete traumatic amputation of unspecified shoulder and upper arm, level unspecified, initial encounter",C2843329
"Complete traumatic amputation of unspecified shoulder and upper arm, level unspecified, sequela",C2843331
"Partial traumatic amputation of right shoulder and upper arm, level unspecified, initial encounter",C2843334
"Partial traumatic amputation of right shoulder and upper arm, level unspecified, sequela",C2843336
"Partial traumatic amputation of left shoulder and upper arm, level unspecified, initial encounter",C2843338
"Partial traumatic amputation of left shoulder and upper arm, level unspecified, sequela",C2843340
"Partial traumatic amputation of unspecified shoulder and upper arm, level unspecified, initial encounter",C2843342
"Partial traumatic amputation of unspecified shoulder and upper arm, level unspecified, sequela",C2843344
"Complete traumatic amputation at elbow level, right arm, initial encounter",C2848389
"Complete traumatic amputation at elbow level, right arm, sequela",C2848391
"Complete traumatic amputation at elbow level, left arm, initial encounter",C2848393
"Complete traumatic amputation at elbow level, left arm, sequela",C2848395
"Complete traumatic amputation at elbow level, unspecified arm, initial encounter",C2848397
"Complete traumatic amputation at elbow level, unspecified arm, sequela",C2848399
"Partial traumatic amputation at elbow level, right arm, initial encounter",C2848402
"Partial traumatic amputation at elbow level, right arm, sequela",C2848404
"Partial traumatic amputation at elbow level, left arm, initial encounter",C2848406
"Partial traumatic amputation at elbow level, left arm, sequela",C2848408
"Partial traumatic amputation at elbow level, unspecified arm, initial encounter",C2848410
"Partial traumatic amputation at elbow level, unspecified arm, sequela",C2848412
"Complete traumatic amputation at level between elbow and wrist, right arm, initial encounter",C2848415
"Complete traumatic amputation at level between elbow and wrist, right arm, sequela",C2848417
"Complete traumatic amputation at level between elbow and wrist, left arm, initial encounter",C2848419
"Complete traumatic amputation at level between elbow and wrist, left arm, sequela",C2848421
"Complete traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter",C2848423
"Complete traumatic amputation at level between elbow and wrist, unspecified arm, sequela",C2848425
"Partial traumatic amputation at level between elbow and wrist, right arm, initial encounter",C2848428
"Partial traumatic amputation at level between elbow and wrist, right arm, sequela",C2848430
"Partial traumatic amputation at level between elbow and wrist, left arm, initial encounter",C2848432
"Partial traumatic amputation at level between elbow and wrist, left arm, sequela",C2848434
"Partial traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter",C2848436
"Partial traumatic amputation at level between elbow and wrist, unspecified arm, sequela",C2848438
"Complete traumatic amputation of right forearm, level unspecified, initial encounter",C2848441
"Complete traumatic amputation of right forearm, level unspecified, sequela",C2848443
"Complete traumatic amputation of left forearm, level unspecified, initial encounter",C2848445
"Complete traumatic amputation of left forearm, level unspecified, sequela",C2848447
"Complete traumatic amputation of unspecified forearm, level unspecified, initial encounter",C2848449
"Complete traumatic amputation of unspecified forearm, level unspecified, sequela",C2848451
"Partial traumatic amputation of right forearm, level unspecified, initial encounter",C2848454
"Partial traumatic amputation of right forearm, level unspecified, sequela",C2848456
"Partial traumatic amputation of left forearm, level unspecified, initial encounter",C2848458
"Partial traumatic amputation of left forearm, level unspecified, sequela",C2848460
"Partial traumatic amputation of unspecified forearm, level unspecified, initial encounter",C2848462
"Partial traumatic amputation of unspecified forearm, level unspecified, sequela",C2848464
"Complete traumatic metacarpophalangeal amputation of right thumb, sequela",C2855838
"Complete traumatic metacarpophalangeal amputation of left thumb, sequela",C2855842
"Complete traumatic metacarpophalangeal amputation of unspecified thumb, sequela",C2855846
"Partial traumatic metacarpophalangeal amputation of right thumb, sequela",C2855851
"Partial traumatic metacarpophalangeal amputation of left thumb, sequela",C2855855
"Partial traumatic metacarpophalangeal amputation of unspecified thumb, sequela",C2855859
"Complete traumatic metacarpophalangeal amputation of right index finger, sequela",C2855865
"Complete traumatic metacarpophalangeal amputation of left index finger, sequela",C2855869
"Complete traumatic metacarpophalangeal amputation of right middle finger, sequela",C2855873
"Complete traumatic metacarpophalangeal amputation of left middle finger, sequela",C2855877
"Complete traumatic metacarpophalangeal amputation of right ring finger, sequela",C2855881
"Complete traumatic metacarpophalangeal amputation of left ring finger, sequela",C2855885
"Complete traumatic metacarpophalangeal amputation of right little finger, sequela",C2855889
"Complete traumatic metacarpophalangeal amputation of left little finger, sequela",C2855893
"Complete traumatic metacarpophalangeal amputation of other finger, sequela",C2855898
"Complete traumatic metacarpophalangeal amputation of unspecified finger, sequela",C2855902
"Partial traumatic metacarpophalangeal amputation of right index finger, sequela",C2855907
"Partial traumatic metacarpophalangeal amputation of left index finger, sequela",C2855911
"Partial traumatic metacarpophalangeal amputation of right middle finger, sequela",C2855915
"Partial traumatic metacarpophalangeal amputation of left middle finger, sequela",C2855919
"Partial traumatic metacarpophalangeal amputation of right ring finger, sequela",C2855923
"Partial traumatic metacarpophalangeal amputation of left ring finger, sequela",C2855927
"Partial traumatic metacarpophalangeal amputation of right little finger, sequela",C2855931
"Partial traumatic metacarpophalangeal amputation of left little finger, sequela",C2855935
"Partial traumatic metacarpophalangeal amputation of other finger, sequela",C2855940
